biden_fake_200,biden_007204.txt
biden_fake_200,biden_001989.txt
biden_fake_200,biden_005972.txt
biden_fake_200,biden_005158.txt
biden_fake_200,biden_006369.txt
biden_fake_200,biden_006403.txt
biden_fake_da,biden_005083.txt
biden_fake_da,biden_006772.txt
biden_real,biden_007918.txt
biden_real,biden_007890.txt
biden_real,biden_007280.txt
biden_real,biden_007899.txt
biden_real,biden_001172.txt
obama_fake_200,wage_003152.txt
obama_fake_5000,sixty_012046.txt
obama_fake_5000,sixty_029069.txt
obama_real,wage_003640.txt
